geoid,geoname,min_to_hb,stop_lat,stop_lon
53,Bülach,17.0,47.52410105381494,8.53618708961695
4551,Aadorf,44.0,47.48818174383191,8.90328363052349
4034,Neuenhof,22.0,47.4507207372692,8.33123645751655
117,Hinwil,40.0,47.30009489017922,8.83970087470466
154,Küsnacht (ZH),13.5,47.3230474714023,8.578286635413075
133,Horgen,21.571428571428573,47.259972971254534,8.592843834594257
142,Wädenswil,20.666666666666668,47.23522918491897,8.6646970797967
1703,Hünenberg,40.0,47.17144009420898,8.449984754940845
261,Zürich,5.625,47.3840328928173,8.529850758594154
191,Dübendorf,8.5,47.398705347957964,8.609768094549425
217,Elgg,41.0,47.49859126991384,8.86338944875019
198,Uster,17.285714285714285,47.3585870839425,8.704852200771615
3340,Rapperswil-Jona,40.285714285714285,47.228259536384805,8.820210641305428
58,Glattfelden,29.0,47.54860406543752,8.52403288382112
1702,Cham,28.285714285714285,47.18005393282494,8.463464617434708
4571,Gachnang,37.0,47.54789768511569,8.84617772790407
4206,Rupperswil,55.0,47.40333252342279,8.12694159557365
91,Niederweningen,32.0,47.50857997988508,8.375325771667281
30,Andelfingen,45.0,47.59381986679994,8.67797717408211
4045,Wettingen,25.0,47.4597387560817,8.31598306399008
1349,Wangen (SZ),38.0,47.1827273791078,8.90069648250487
1701,Baar,17.0,47.195437532847656,8.52325134952383
4236,Muri (AG),44.0,47.2767543303611,8.3397974021754
155,Männedorf,30.0,47.2534552981594,8.69233225232434
177,Pfäffikon,1410.0,47.367131363530746,8.78477787822595
66,Opfikon,9.857142857142858,47.43038069723209,8.560512184206749
94,Otelfingen,24.2,47.45531052129458,8.393342383008086
197,Schwerzenbach,13.0,47.384471731487125,8.65866339547086
9,Mettmenstetten,29.0,47.2441315941836,8.45736890657733
158,Stäfa,31.5,47.238234016839044,8.737117760820354
156,Meilen,23.5,47.275864157278455,8.628502459802347
2937,Neuhausen am Rheinfall,51.4,47.68248695454264,8.623422486869945
62,Kloten,11.0,47.44851147322361,8.57090398096872
54,Dietlikon,11.0,47.4202841419786,8.61925430395105
243,Dietikon,11.666666666666666,47.40364959648371,8.41012051701035
121,Wetzikon (ZH),332.6666666666667,47.32125496489505,8.795032646259651
4033,Mellingen,25.0,47.428130434603595,8.27634041049637
1345,Reichenburg,57.0,47.1727561420631,8.98229944292565
1708,Steinhausen,1400.75,47.19295609805002,8.478742072977726
1362,Arth,37.0,47.04931498219565,8.549491138976608
55,Eglisau,32.0,47.572448667255834,8.51653195119768
90,Niederhasli,19.0,47.47835908644875,8.48869316053894
135,Kilchberg (ZH),10.0,47.32447554644658,8.54799993560477
141,Thalwil,8.0,47.29607503197028,8.56475351565593
4082,Wohlen (AG),35.0,47.348594978429674,8.269782708921381
1322,Freienbach,31.46153846153846,47.204488946555394,8.763037957335477
137,Oberrieden,18.571428571428573,47.27804027398379,8.577985699792855
1372,Schwyz,81.0,47.026453343622904,8.63213614512711
296,Illnau-Effretikon,21.636363636363637,47.419730387803114,8.69976948622763
4030,Killwangen,18.0,47.43344774485488,8.35419739618185
7,Knonau,34.0,47.22031790901307,8.46671138553348
86,Dielsdorf,23.0,47.48246017816467,8.45941706542541
176,Lindau,20.0,47.4528802218558,8.70557341961411
89,Niederglatt,19.0,47.4875322181342,8.50329976706076
250,Urdorf,9.5,47.385989003790876,8.43252150581513
1711,Zug,24.944444444444443,47.1753360701019,8.507386103475977
151,Erlenbach (ZH),17.5,47.3015415464331,8.59524233640319
4080,Villmergen,30.0,47.373705010446464,8.23468553076595
118,Rüti (ZH),34.0,47.26057655095045,8.85406493609973
97,Rümlang,12.0,47.4541284910683,8.5327465420783
96,Regensdorf,16.0,47.4366105300783,8.47206534462758
298,Wiesendangen,32.5,47.530510829980564,8.782585988932391
5,Hedingen,23.0,47.2988429691461,8.44595131931459
4566,Frauenfeld,41.0,47.55826303787998,8.89653728273882
230,Winterthur,1124.25,47.50140275092513,8.742143834835701
99,Schöfflisdorf,27.0,47.4980025646135,8.41179737220761
247,Schlieren,9.0,47.399267822642344,8.44722692701821
2,Affoltern am Albis,26.0,47.2761570473776,8.44658014001356
101,Steinmaur,24.0,47.49000887118855,8.44684065144599
67,Rafz,39.0,47.60383593823205,8.54342751080796
1707,Risch,27.0,47.14191467282078,8.43047334696705
4021,Baden,29.0,47.47655237081609,8.307691613916502
119,Seegräben,22.0,47.33601634752421,8.76560783006017
138,Richterswil,32.0,47.208431463884295,8.70745988171102
242,Birmensdorf (ZH),15.0,47.357496037910174,8.43754308825406
1364,Ingenbohl,80.0,46.999245997003285,8.61004657228754
4032,Mägenwil,28.0,47.4145643025929,8.23513468840807
4205,Othmarsingen,31.0,47.40754890098118,8.21478784721993
52,Bassersdorf,16.0,47.4386369216932,8.62619828109826
3315,Schänis,47.0,47.13643251857177,9.060039647624167
92,Oberglatt,17.0,47.47027738998996,8.51060307032167
227,Seuzach,35.0,47.53581498563833,8.73886498404821
35,Marthalen,39.0,47.63113642238096,8.65609421375792
153,Hombrechtikon,32.0,47.239243463826874,8.78348430421664
69,Wallisellen,8.0,47.4127771052905,8.59190958669864
3,Bonstetten,19.0,47.325958243705564,8.46817563944679
4228,Boswil,40.0,47.3052332433374,8.31527339491553
4048,Würenlos,28.0,47.44580309904143,8.35764692687335
4561,Felben-Wellhausen,45.0,47.57714841335052,8.94315984599111
1054,Ebikon,33.0,47.08434985965203,8.34234861758266
1061,Luzern,50.0,47.051075346333384,8.31017096410102
4201,Lenzburg,25.0,47.39147601583824,8.170375139566882
61,Hüntwangen,35.0,47.58131147241862,8.51282190907375
1065,Root,29.0,47.12141709875441,8.39477429757117
112,Bubikon,31.0,47.2709031045749,8.82270474952676
172,Fehraltorf,25.0,47.38516814707079,8.75026460500527
83,Buchs (ZH),21.0,47.45342994991965,8.43557577778156
159,Uetikon am See,29.0,47.259101164551325,8.67877667468509
161,Zollikon,11.0,47.3373769668854,8.5697211991778
1346,Schübelbach,54.0,47.1764444357003,8.93875810109831
2939,Schaffhausen,38.0,47.69844257246429,8.632729033214718
4590,Hüttlingen,47.0,47.58238399732707,8.97453799886977
1344,Lachen,34.0,47.1901328483707,8.85269051371484
139,Rüschlikon,13.0,47.30717941266788,8.55515052526735
1341,Altendorf,50.0,47.19402747860621,8.8228844125836
